date,bitcoin,bitcoin_cash,ethereum,litecoin,ripple
11/6/2015,223.469,624.347,,1.79834,0.00796296
8/10/2015,240.799,599.609,0.632599,3.12207,0.00530266
29/9/2016,605.721,453.157,13.2973,3.83416,0.00834722
30/7/2014,621.996,,,7.81981,0.00597065
13/8/2017,4072.94,316.194,296.363,46.0206,0.173312
23/10/2016,637.624,442.031,12.0596,3.88836,0.00900187
11/2/2016,376.203,673.121,4.26808,3.1307,0.00788576
23/11/2015,325.69,599.483,0.968713,3.1442,0.00424764
30/5/2016,521.849,409.438,12.2209,4.73138,0.0056425
17/6/2017,2481.74,331.466,371.358,39.3866,0.258932
5/9/2017,4490.29,330.345,312.877,73.6256,0.221003
27/5/2014,448.209,,,10.3778,0.00652822
2/10/2013,126.57,,,2.56348,0.00634135
1/9/2015,232.353,641.154,1.29226,2.83779,0.00796853
18/3/2017,1160.68,314.903,47.8125,4.13582,0.00621239
31/3/2017,1020.99,315.594,52.6326,6.92162,0.0142364
21/7/2017,2637.55,338.825,215.402,45.9145,0.185112
13/3/2014,571.31,,,13.1378,0.0136833
18/8/2015,266.174,655.189,1.41008,3.96663,0.00835876
21/11/2015,326.287,596.265,0.953748,3.11138,0.00421951
26/11/2013,332.41,,,4.22092,0.00881359
22/4/2016,443.29,485.187,8.61686,3.31582,0.00739528
14/7/2017,2202.94,322.191,196.211,40.2898,0.180244
4/3/2015,251.802,292.71,,1.85811,0.0131817
9/6/2015,225.226,585.733,,1.72893,0.00790325
30/7/2015,292.164,653.526,,5.07731,0.00852839
20/7/2015,278.093,590.673,,4.00476,0.00801603
25/7/2016,654.691,416.885,13.0893,4.06681,0.00626389
23/1/2017,909.04,363.916,10.7445,3.85613,0.00670216
12/1/2017,818.048,369.229,9.92186,3.84679,0.0065693
28/5/2015,241.613,302.269,,1.81437,0.00690596
5/2/2016,369.989,647.091,2.55111,3.15875,0.0069099
22/8/2013,106.75,,,2.71414,0.00587384
21/9/2013,125.79,,,2.67392,0.00567312
8/12/2016,766.544,407.232,7.96485,3.61816,0.00683736
31/8/2016,578.19,422.006,11.0765,3.81158,0.00601937
1/1/2015,324.885,241.418,,2.69996,0.0242637
20/6/2013,121.309,,,2.7589,
8/2/2015,239.545,358.056,,1.7413,0.0131528
3/10/2016,612.979,455.04,13.2534,3.83465,0.0081498
6/8/2014,583.662,411.55,,7.52942,0.00532195
16/7/2016,664.502,471.735,12.0096,4.15524,0.00642405
22/12/2015,441.045,595.842,0.910805,3.50127,0.00630523
1/10/2014,434.903,400.53,,4.52897,0.0046796
2/5/2017,1383.51,310.393,76.9247,16.0219,0.0544585
22/12/2014,333.954,283.946,,2.81669,0.0252834
18/10/2013,121.59,,,2.21442,0.0119368
14/4/2014,481.448,,,11.0228,0.00789384
6/10/2013,127.47,,,2.48431,0.0108464
16/12/2016,779.555,403.714,7.9888,3.62416,0.00668381
16/5/2013,135.3,,,3.38879,
10/8/2017,3420.4,316.884,302.084,47.104,0.181116
2/11/2013,146.52,,,1.92744,0.00758473
16/8/2013,106.23,,,2.88654,
6/4/2017,1122.91,304.665,47.046,10.8515,0.0361014
4/8/2016,553.726,412.045,9.82174,3.72489,0.0056411
24/1/2015,208.277,241.56,,1.33932,0.015912
28/8/2017,4390.45,328.918,345.592,62.1131,0.218407
11/12/2016,775.156,396.248,8.35336,3.6856,0.00681344
24/7/2016,652.987,423.633,14.5325,4.04927,0.00628456
1/6/2016,544.418,401.272,13.1197,4.61317,0.00573743
24/9/2014,469.813,405.428,,4.65323,0.00509377
4/12/2014,372.335,422.545,,3.58284,0.0145174
25/12/2016,891.23,364.311,7.34599,4.55138,0.00637651
11/5/2017,1762.21,314.695,88.4985,32.4409,0.175978
1/2/2017,953.959,356.336,10.6471,4.07604,0.00627416
30/11/2014,357.059,473.034,,3.58416,0.00971688
5/4/2017,1133.37,309.452,45.1064,8.18472,0.038195
10/5/2016,456.969,416.379,9.53976,4.06293,0.00640407
22/5/2016,442.061,420.013,13.549,3.96338,0.00606002
5/10/2017,4332.29,393.823,294.99,52.5711,0.238409
15/2/2015,216.425,331.241,,1.75674,0.0136327
29/5/2014,447.912,,,10.4407,0.0059637
12/4/2016,422.009,489.908,8.36365,3.22749,0.0059623
16/9/2016,610.234,451.392,12.0279,3.82203,0.00598287
20/1/2017,891.014,368.546,10.2584,3.85918,0.0070741
3/8/2013,88.7869,,,2.8741,
10/9/2013,121.8,,,2.54263,0.0051352
21/4/2015,228.548,309.566,,1.41843,0.00802704
11/3/2014,563.52,,,13.6863,0.0141288
5/1/2016,427.509,483.342,0.966162,3.47845,0.00602476
22/8/2014,516.599,438.057,,4.96226,0.00541515
26/2/2016,427.719,559.009,6.35305,3.37372,0.00805266
